Sitio web,Título,Subtítulo,Categoría,Enlace
La Gaceta,"Elecciones suspendidas: la Feput expresó su ""preocupación"" por el fallo de la Corte Suprema","La organización cuestionó la ""interrupción del acto democrático, cívico, de expresión del pueblo"".",Política,https://www.lagaceta.com.ar/nota/990734/politica/elecciones-suspendidas-feput-expreso-preocupacion-fallo-corte-suprema.html
La Gaceta,"“Si Manzur hubiese respetado la Constitución no tendríamos esta crisis institucional”, dijo Campero",El intendente de Yerba Buena consideró que hubo situaciones de negligencias que llevaron a que Tucumán hoy se encuentre en una situación delicada.,Política,https://www.lagaceta.com.ar/nota/990735/politica/si-manzur-hubiese-respetado-constitucion-no-tendriamos-esta-crisis-institucional-dijo-campero.html
La Gaceta,¿Por qué el Gobierno dice que el fallo de la Corte se tendrá en cuenta como causal de juicio político?,El Presidente anunció que este antecedente será abordado por los legisladores que están trabajando en el proceso.,Política,https://www.lagaceta.com.ar/nota/990698/politica/por-gobierno-dice-fallo-corte-se-tendra-cuenta-como-causal-juicio-politico.html
La Gaceta,El Gobierno anunció un aumento de 21% y un bono de refuerzo por tres meses para jubilados,Lo  comunicaron Sergio Massa y Fernanda Raverta. Cómo y cuándo se pagarán esas sumas.,Economía,https://www.lagaceta.com.ar/nota/990731/economia/gobierno-anuncio-aumento-21porciento-bono-refuerzo-tres-meses-para-jubilados.html
La Gaceta,"“Manzur no puede ser candidato a vicegobernador porque viola el espíritu de la Constitución”, afirmó Berarducci",El legislador respaldó la decisión de la Corte Suprema.,Política,https://www.lagaceta.com.ar/nota/990733/politica/manzur-no-puede-ser-candidato-vicegobernador-porque-viola-espiritu-constitucion-afirmo-berarducci.html
La Gaceta,Tafí Viejo: falta poco para la inauguración del Centro Modular Sanitario,"El Gobernador recorrió las obras del nuevo hospital modular de la ciudad, que están muy avanzadas y próximas a ser habilitadas.",Política,https://www.lagaceta.com.ar/nota/990730/politica/tafi-viejo-falta-poco-para-inauguracion-centro-modular-sanitario.html
La Gaceta,Causa Vialidad: los jueces Hornos y Borinsky rechazaron la recusación planteada por Cristina Kirchner,La defensa de la ex mandataria había considerado que los magistrados no reúnian las condiciones de imparcialidad para revisar la sentencia.,Política,https://www.lagaceta.com.ar/nota/990718/politica/causa-vialidad-jueces-hornos-borinsky-rechazaron-recusacion-planteada-cristina-kirchner.html
La Gaceta,Condenan a un hombre que causó la intoxicación de su bebé con cocaína,Recibió la pena de cinco años prisión de cumplimiento efectivo por el delito de abandono de persona doblemente calificado por resultar un grave daño en la salud de la víctima y por ser cometido por…,Seguridad,https://www.lagaceta.com.ar/nota/990719/seguridad/condenan-hombre-causo-intoxicacion-bebe-cocaina.html
La Gaceta,Suspensión de las elecciones: Macri criticó los “gobiernos feudales” de Tucumán y San Juan,"""No soportan límites"", dijo el ex presidente.",Política,https://www.lagaceta.com.ar/nota/990720/politica/suspension-elecciones-macri-critico-gobiernos-feudales-tucuman-san-juan.html
La Gaceta,"Regino Amado: ""Las decisiones están en la cabeza de Manzur y de Jaldo""","El vicepresidente primero de la Legislatura criticó el fallo de la Corte nacional, pero anticipó que el PJ acatará las decisiones del tribunal.",Política,https://www.lagaceta.com.ar/nota/990717/politica/regino-amado-decisiones-estan-cabeza-manzur-jaldo.html
